,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
472,2019,7,Hasin,Optimized Load Trajectory for Finite Peaking OFF-State Impedance-Based Doherty Power Amplifiers,GaN,2.2 GHz,2.2,43,55.5,DE,,,9,20 MHz LTE,,20,34,,,,GaN
473,2019,6,Cai,Wideband High-Efficiency Power Amplifier Using D/CRLH Bandpass Filtering Matching Topology,GaN ,1.5-2.4,2.2,40.5,69,PAE,,,,,,,,,,,CGH40010
474,2019,9,Tran,Design of a 1–2.8-GHz 100-W Power Amplifier With Bounded Performance Technique,GaN ,1-2.8,2.2,52.7,64.2,DE,,,,,,,,,,,TGF2819-FL
475,2020,8,Dhar,Modeling of Inout Nonlinearity and Waveform Engineered High-Efficiency Class-F Power Amplifiers,GaN,2.2 GHz,2.2,53.3,72.1,DE,,,,,,,,,,,24 mm GaN 
476,2020,9,Yang,A Generalized High-Efficiency Broadband Class-E/F3 Power Amplifier Based on Design Space Expanding of Load Network,GaN,1.7 GHz -2.6 GHz,2.2,39.1,68,PAE,,,15,20MHz 5.5-dB PAPR,,,34.5,34 (DE),16 QAM,,Cree CGH40010F
477,2020,2,Su,Bandpass Filtering Power Amplifier With Extended Band and High Efficiency,GaN,2.0 - 2.4,2.2,40.4,78.2,DE,,,10.6,,,,,,,,HEMTs CG2H40010
478,2020,8,Dhar,Modeling of Inout Nonlinearity and Waveform Engineered High-Efficiency Class-F Power Amplifiers,GaN,2.2 GHz,2.2,53.3,72.1,DE,,,,,,,,,,,24 mm GaN 
479,2020,9,Yang,A Generalized High-Efficiency Broadband Class-E/F3 Power Amplifier Based on Design Space Expanding of Load Network,GaN,1.7 GHz -2.6 GHz,2.2,39.1,68,PAE,,,15,20MHz 5.5-dB PAPR,,,34.5,34 (DE),16 QAM,,Cree CGH40010F
480,2021,1,Cao,Asymmetrical Load Modulated Balanced Amplifier With Continuum of Modulation Ratio and Dual-Octave Bandwidth ,GaN ,0.55-2.2,2.2,42,49,PAE,31,,9.7,LTE,,20,31,51 (DE),,,Wolfspeed CGH40010F
481,2020,2,Liang,Wideband Two-Way Hybrid Doherty Outphasing Power Amplifier,GaN,1.4 - 2.5 GHz,2.2,44,60,DE,,,16,20MHz LTE,,,36.7,40.8,,Analog,HEMT CGH40010F
482,2018,1,Sharma,Broadband GaN Class-E Power Amplifier for Load Modulated Delta Sigma and 5G Transmitter Applications,GaN,,2.21,44.62,55.2,PAE,41,45,10,,,1.4,,,LTE(1.4 MHz),,GaN
483,2012,6,Smith,"A 40W Push-Pull Power Amplifier for High Efficiency, Decade Bandwidth Applications at Microwave Frequencies",GaN ,,2.25,45,61,DE,,,10,,,,,,,,GaN HEMTs
484,2015,11,Bertran,A Wideband Doherty-Like Architecture Using a Klopfenstein Taper for Load Modulation,GaN,,2.25,42,48,DE,,,11,,,,,,,,
485,2013,10,Andrersson,A 1-3 Ghz Digitally Controlled Dual -RF Input Power-Amplifier Design Based on a Doherty-Outphasing Continuum Analysis,GaN,,2.3,44,50,PAE,,,,,,,35.3,40,WCDMA,,GaN HEMT
486,2013,3,Saad,Investigation of Push-Pull Microwave Power Amplifiers Using an Advanced Measurement Setup,GaN,,2.3,40.5,57,DE,,,,,,,,,,,GaN
487,2013,6,Calvillo-Cortes,A 70W Package-Integrated Class-E Chireix Outphasing RF Power Amplifier,GaN,,2.3,,,,,,,,,,48.5,43.8(DE),,,GaN
488,2015,4,Jia,A Novel Doherty Transmitter Based on Antenna Active Load Modulation,GaN,,2.3,41,40,DE,,,14,,,,36.7,40,3MHz LTE,,
489,2015,9,Jee,Asymmetric Broadband Doherty Power Amplifier Using GaN MMIC for Femto-Cell Base-Station,GaN,,2.3,41,60,DE,32,50,14.1,,,,33.3,55.2(DE),LTE,,GaN HEMT (250nm)
490,2015,6,Chlieh,Microfluidically Reconfigurable GaN Power Amplifier on Multilayer Organic Substrate for S-Band and C-Band Applications,GaN,,2.3,35.02,36.41,PAE,,,,,,,,,,,GaN
491,2015,6,Jee,A Highly Linear Dual-band Doherty Power Amplifier for Femto-cell Base Stations,GaN,,2.3,,,,,,15.7,,,,35.2,45.5(DE),,,GaN
492,2016,6,Shi,Deign of Broadband Highly Efficienct Doherty Power Amplifiers By Using Series of Continuous Modes,GaN,,2.3,44.5,68,DE,,,11.5,,,,,,,,GaN
493,2017,6,Quaglia,Design and characterization of a 1.7–2.7 GHz quasi-MMIC Doherty power amplifier,GaN,,2.3,40.2,42,DE,,,12,,,,,,,,GaN
494,2017,10,Ahn,2.3-GHz HBT Power Amplifier With ParallelSegmented On-Chip Autotransformer,InGaP,,2.3,31,27.6,PAE,,,,,,LTE (10Mhz),24.84,14.3,,,
495,2018,1,Huang,Design of Broadband High-Efficiency Power Amplifiers Based on the Hybrid Continuous Modes With Phase Shift Parameter,GaN,,2.3,42,66,DE,,,,,,,35,,"LTE (20 MHz, 7.4 dB PAPR)",, CGH40010F HEMT 
496,2019,1,Rahimizadeh,An Efficient Linear Power Amplifier with 2nd Harmonic Injection,GaN,2.3 GHz,2.3,41.5,80,DE,,,,,,,,,,,GaN
497,2021,2,Zhang,Design of a Dual-Band Power Amplifier Using a Simple Method,GaN ,2.3,2.3,42.1,74.1,DE,,,11.2,WCDMA,,5,35.7,32,,,Wolfspeed CGH40010F
498,2020,11,Zhou,Broadband Doherty-Like Power Amplifier Using Paralleled Right- and Left-Handed Impedance Transformers,GaN,1.25 GHz - 2.3GHz,2.3,42,69,DE,,,10.6,WCDMA 3GPP,,,,40 (DE),WCDMA 3GPP,Analog,HEMT CGH40010F
499,2018,6,Jang,"A 225 Watt, 1.8-2.7 Ghz Broadband Doherty Power Amplifier with Zero-Phase Shift Peaking Amplifier",GaN,,2.35,54,68,DE,,,12,,,,46,47.6(DE),10 Mhz,,GaN
500,2018,11,Shen,Design of Broadband High-Efficiency Doherty Power Amplifier Using Post-Matching Network,GaN,,2.35,44.2,67.3,DE,,,13.4,,,,,,,,
501,2018,5,Lin,Analysis and Design of a High Efficient Dual-Frequency Doherty Power Amplifier,GaN,,2.35,44.1,64.1,PAE,36,50,12,,,,,,,,Cree GaN HEMT
502,2012,6,Saad,Design of a Concurrent Dual-Band 1.8-2.4 Ghz GaN-HEMT Doherty Power Amplifier,GaN,,2.4,43,54,PAE,33,27,,,,,36.1,45.3,LTE,,GaN HEMT
503,2013,6,Gustafsson,A 44 dBm 1.0-3.0 GHz GaN Power Amplifier with over 45% PAE at 6 dB back-off,GaN,,2.4,44.5,52,PAE,,,11,,,,,,,,GaN
504,2014,9,Giofre,An Ultra-Broadband GaN Doherty Amplifier with 83% of Fractional Bandwidth,GaN,,2.4,41,73,DE,,,,,,,,,,,GaN
505,2015,1,Hayati,Class-F Power Amplifier With High Power Added Efficiency Using Bowtie-Shaped Harmonic Control Circuit,pHEMT (ATF-34143),,2.4,23.6,80,PAE,,,,,,,,,,,
506,2016,5,Yang,Highly Efficient Broadband Continuous Inverse Class-F Power Amplifier Design Using Modified Elliptic Low-Pass Filtering Matching Network,GaN,,2.4,41,68,DE,,,,,-39.17,,34.3,42 (DE),LTE (20 Mhz),,GaN HEMT
507,2017,12,Pednekar,RF-Input Load Modulated Balanced Amplifier With Octave Bandwidth,GaN,,2.4,44,53,PAE,,,9.8,,,,32,22,WCDMA,,GaN
508,2017,12,Kim,2.4 GHz Class- F−1 GaN Doherty Amplifier With Efficiency Enhancement Technique,GaN,,2.4,42,63,DE,,,,,,,,,,,GaN
509,2018,5,Kim,Highly Efficient Asymmetric Class--F-1/F GaN Doherty Amplifier,GaN,,2.4,44,86.7,DE,35,53,,,,,37.3,68(DE),LTE (10mHZ),,GaN HEMT
510,2018,10,Pednekar,Analysis and Design of a Doherty-Like RF-Input Load Modulated Balanced Amplifier,GaN,,2.4,45.6,67,PAE,,,12,,,10,38,47,10MHz LTE,,10-W GaN packaged transistors from Wolfspeed (CGH40010F) 
511,2018,4,Becerra,Class-X—Harmonically Tuned Power Amplifiers With Maximally Flat Waveforms Suitable for Over One-Octave Bandwidth Designs,GaN,,2.4,36,72,DE,,,10,,,,,,,,GaN CGH40010F
512,2018,4,Li,Class-X—Harmonically Tuned Power Amplifiers With Maximally Flat Waveforms Suitable for Over One-Octave Bandwidth Designs,GaN,1.24~2.42,2.4,39.9,80,DE,,,,,,,,,,,
513,2018,2,Meng,Design of Dual-Band High-Efficiency Power Amplifiers Based on Compact Broadband Matching Networks,GaN CGH40010F,,2.4,40,67,PAE,,,12.5,10 MHz WCDMA,,,34,,ACLR=-43dBc,,
514,2018,2,Du,Novel Design Space of Load Modulated Continuous Class-B/J Power Amplifier,GaN CGH40010F,,2.4,38.7,50,PAE,,,11.5,,,,,,,,
515,2018,5,Goralczyk,Highly efficient harmonic tuned GaN HEMT power amplifier for a 2.45 GHz ISM band,GaN,,2.4,41.76,61,PAE,37,40,18,,,,,,,,GaN
516,2018,2,Barakat,A High-Efficiency GaN Doherty Power Amplifier With Blended Class-EF Mode and Load-Pull Technique,GaN,,2.4,45.3,81.3,DE,40,60,12,,,5,39.2,,16 QAM(5 MHz),,GaN
517,2018,3,Cai,A Simplified Transistor-Based Analog Predistorter for a GaN Power Amplifier,GaN,,2.4,38.9,43.2,PAE,32,43.2,17,,,,,,,,GaN
518,2018,3,Kim,Analysis and design optimisation for inverse Class-F GaN Doherty,GaN,,2.4,42.3,65,DE,,,,,,10,36,54(DE),LTE(10 MHz),,GaN
519,2019,2,Yang,Bandwidth Extension of Doherty Power Amplifier Using Complex Combining Load With Noninfinity Peaking Impedance,GaN,,2.4,43,61,DE,,,10,,,20 MHz LTE,37,42.5,,,
520,2019,6,Lyu,Doherty-to-Balanced Switchable Power Amplifier,GaN,,2.4,41.75,78.1,DE,,,,256Qam (12.5Mhz),,,36.2,58(DE),,,
521,2019,10,Alsahali ,Supply Modulator Ripple in Envelope Tracking Systems - Effects and Countermeasures,GaN,2.4 GHz,2.4,,,,,,,LTE (10Mhz),-33.1,,35.3,,,,GaN
522,2019,6,Cai,Wideband High-Efficiency Power Amplifier Using D/CRLH Bandpass Filtering Matching Topology,GaN ,1.5-2.4,2.4,40.1,60,PAE,,,,,,,,,,,CGH40010
523,2020,7,Chang,Frequency-Agile Class-J Power Amplifier With Clockwise Fundamental- and Second-Harmonic Loads,GaN ,0.8 - 2.4,2.4,40.9,50,PAE,,,10,20 MHz LTE,,,33.2,25.9,,,GaN
524,2020,9,Yang,A Generalized High-Efficiency Broadband Class-E/F3 Power Amplifier Based on Design Space Expanding of Load Network,GaN,1.7 GHz -2.6 GHz,2.4,39.1,66,PAE,,,14,,,,,,,,Cree CGH40010F
525,2019,6,Cao,Load Modulated Balanced Amplifier with Reconfigurable Phase Control for Extended Dynamic Range,GaN,2.4,2.4,43,61,PAE,34,,10,,,,,,,,Wolfspeed CGH40006
526,2020,9,Yang,A Generalized High-Efficiency Broadband Class-E/F3 Power Amplifier Based on Design Space Expanding of Load Network,GaN,1.7 GHz -2.6 GHz,2.4,39.1,66,PAE,,,14,,,,,,,,Cree CGH40010F
527,2021,1,Viven,Load Modulated Balanced Amplifier Designed for AM-PM Linearity,GaN,2.4 GHz,2.4,43,58,DE,,,13,8.6dB PAPR 10MHz LTE,,,35.5,44%(DE),ACLR= -33 dB,Analog,HEMT CGH40010F
528,2002,6,Chung,Output Harmonic Termination Techniques for AlGaN/GaN HEMT Power Amplifiers Using Active Integrated Antenna Approach,GaN,,2.45,30,55,PAE,,,14,,,,,,,,AlGaN/GaN HEMT
529,2008,11,Colantonio,A Design Technique for Concurrent Dual-Band Harmonic Tuned Power Amplifier,GaN,,2.45,33,53,DE,30.5,40,11,,,,,,OFDM 802.16e,,GaN_HEMT
530,2018,11,Sugitani ,2.45 GHz ISM-Band 450W High Efficiency GaN Pallet Amplifier for Microwave Heating,GaN,,2.45,56.5,70,DE,,,15,,,,,,,,
531,2018,9,Preis,A High-Efficiency GaN Transistor Module with Thick-Film BST-Based Tunable Matching Network,GaN,,2.45,42.8,56.4,PAE,,,,,,,,,,,
532,2019,6,Haesoo Jeong,A Highly Efficient and Compact 6kW GaN Solid-State Microwave Generator for CW 2.45Ghz Applications,GaN,,2.45,53.77,74.5,DE,,,13.8,,,,,,,,
533,2020,6,Pang,Multiband Dual-Mode Doherty Power Amplifier Employing Phase Periodic Matching Network and Reciprocal Gate Bias for 5G applications,GaN,,2.45,41.3,71.3,PAE,,,9.8,100MHz 7.7-dB PAPR,,,33,42.1 (DE),OFDM,Digital,HEMTs CGH4006s
534,2002,6,Chung,Output harmonic termination techniques for AlGaN/GaN HEMT power amplifiers using active integrated antenna approach,GaN,,2.5,31,55,PAE,28,44,14,,,,,,,,AlGaN/GaN
535,2010,7,Saad,Design of a Highly Efficient 2-4Ghz Octave bandwidth GaN-HEMT Power Amplifier,GaN,,2.5,42.5,61,PAE,41,60,10,,,,,27 - 25,,Analog,GaN HEMT
536,2011,6,Tuffy,Class-J RF Power Amplifier with Wideband Harmonic Suppression,GaN ,,2.5,41,59,DE,,,15,,,,,,,,GaN HEMT
537,2011,12,Jeong,A Miniaturized WiMAX Band 4-W Class-F GaN HEMT Power Amplifier Module,GaN,,2.5,37,55,PAE,32.8,,12.5,,,,,,,,GaN HEMT
538,2013,6,Ma,A 40-dBm High Voltage Broadband GaN Class-J Power Amplifier for PoE Micro-Basestations,GaN ,,2.5,40,68,DE,,,14.5,,,,35.9,48(DE),LTE,,GaN HEMT
539,2013,4,Rezaei,Integrated Design of a Class-J Power Amplifier,GaN,,2.5,26.8,59,DE,25,50,,,,,,,,,GaN HEFT (800nm)
540,2015,12,Pang,A Post-Matching Doherty Power Amplifier Employing Low-Order Impedance Inverters for Broadband Applications,GaN,,2.5,46,66,DE,,,26,,,,36,41(DE),LTE (20Mhz),,GaN HEMT
541,2017,12,Khan,A Novel Two-Stage Broadband Doherty Power Amplifier for Wireless Applications,GaN,,2.5,41.8,45,DE,,,,,,,,,,,CGH40010F
542,2017,6,Wu,An S-band 3-W Load-Reconfigurable Power Amplifier with 50–76% Efficiency for VSWR up to 4:1,GaN,,2.5,35,67,PAE,,,11,,,,,,,,GaN
543,2017,9,Huang,Design of Multioctave Bandwidth Power Amplifier Based on Resistive Second-Harmonic Impedance Continuous Class-F,GaN,0.2-2.5,2.5,44*,56*,DE,,,12*,,,,,,,,
544,2017,5,Aggrawal,Investigating Continuous Class-F Power Amplifier Using Nonlinear Embedding Model,GaN,,2.5,40*,65*,DE,,,12*,,,,,,,,
545,2018,3,Nia,A 0.85–5.4 GHz 25-W GaN Power Amplifier,GaN CGH40025F ,,2.5,43.5,45,PAE,,,9.5,,,,,,,,
546,2019,1,Poluri,High-Efficiency Modes Contiguous With Class B/J and Continuous Class F −1 Amplifiers,GaN,,2.5,43,79.7,DE,,,20,,,,,,,,
547,2019,10,Courty,An Experimental Study for the Design of Dual Input Load Modulated Wideband GaN Amplifier,GaN,2.1-2.6,2.5,43,64,DE,42,64,7,,,,,,,,GaN
548,2019,12,Barros,Impact of the Input Baseband Terminations on the Efficiency of Wideband Power Amplifiers Under Concurrent Band Operation,GaN,2.3-3,2.5,45,69,PAE,,,,5 MHz OFDM,,,,40(DE),,,GaN
549,2019,10,Li,Ultra-Wideband Dual-Mode Doherty Power Amplifier Using Reciprocal Gate Bias for 5G Applications,GaN ,,2.5,41,70,DE,,,,,,,33,46,OFDM (200MHz),,CGH40010F
550,2019,12,chen,The Nested-Mode Power Amplifiers for Highly Efficient Multi-Octave Applications,GaN ,0.001-3.1,2.5,41.75,58,DE,,,11.2,,,,32(2.6GHz),23(2.6GHz DE),16QAM(20MHz),,CGH40010
551,2020,2,Liang,Wideband Two-Way Hybrid Doherty Outphasing Power Amplifier,GaN,1.4 - 2.5 GHz,2.5,43,68.4,DE,,,14,20MHz LTE,,,35.4,32.3,,Analog,HEMT CGH40010F
552,2022,6,Kang,A Reconfigurable S-/X-Band GaN MMIC Power Amplifier,GaN,2-3/10-12,2.5,30.5,24,PAE,,,22,,,,,,,,250nm GaN-Si
553,2011,6,Wang,Digital Predistorted Inverse Class-F GaN PA with Novel PAPR Reduction Technique,GaN,,2.55,42,73.5,PAE,,,16,,,,33.6,31.3(DE),OFDM  (16 QAM),,GaN
554,2014,6,Liu,High efficiency Broadband Multi-Mode Transferred Power Amplifier for LTE and 3G Applications,GaN ,,2.55,,,,,,16,,,,40,67(DE),LTE ,,GaN HEMT
555,2015,12,Sun,Highly Efficient Concurrent Power Amplifier With Controllable Modes,GaN,,2.55,42.9,68.8,DE,,,,,,,34,37(DE),LTE-A (100Mhz),,GaN HEMT
556,2020,8,Masood,300W Dual Path GaN Doherty Power Amplifier with 65% Efiiciency for Cellular Infrastructure Applications,GaN,,2.55,,,,,,,20 MHz 7dB PAPR 20MHz IBW,,,47.52,65.05 (DE),20 MHz LTE,,NXP's 300W asymmetric GaN Doherty PA
557,2020,8,Masood,300W Dual Path GaN Doherty Power Amplifier with 65% Efiiciency for Cellular Infrastructure Applications,GaN,,2.55,,,,,,,20 MHz 7dB PAPR 60MHz IBW,,,47.64,63.4 (DE),20 MHz LTE,,NXP's 300W asymmetric GaN Doherty PA
558,2020,8,Masood,300W Dual Path GaN Doherty Power Amplifier with 65% Efiiciency for Cellular Infrastructure Applications,GaN,,2.55,,,,,,,20 MHz 7dB PAPR 100MHz IBW,,,47.33,62.3 (DE),22 MHz LTE,,NXP's 300W asymmetric GaN Doherty PA
559,2009,6,Deguchi,A 33W GaN HEMT Doherty Amplifier with 55% Drain Efficiency for 2.6GHz Base Stations,GaN ,,2.6,52.5,65.6,DE,50,64,13.8,,,,45.2,55(DE),,,GaN HEMTs
560,2010,6,Wu,Design of a Broadband and Highly Efficient 45W GaN Power Amplifier via Simplified Real Frequency Technique,GaN,,2.6,45.8,63,DE,,,11,,,,36.8,27(DE),LTE,,GaN
561,2011,6,Kim,60% High-Efficiency 3G LTE Power Amplifier with Three-level Delta Sigma Modulation Assisted By Dual Supply Injection,GaN,,2.6,,,,,,,,,,34.5,55.6,LTE,,GaN
562,2012,6,Deguchi,A 2.6GHz Band 537W Peak Power GaN HEMT Asymmetric Doherty Amplifier with 48% Drain Efficiency at 7dB,GaN ,,2.6,57.3,47,DE,,,13.5,,,,50.3,48(DE),WCDMA,,GaN HEMTs
563,2012,6,Kim_3,Highly Efficient Doherty Amplifier with Peaking Cell Controlled Using Optimized Shaped Gate Voltage,GaN,,2.6,54.6,,,,,,,,,45.6,49.2(DE),LTE (10Mhz),,GaN
564,2012,6,Motoi,"A 72% PAE, 95-W, Single-chip GaN FET S-band Inverse Class-F Power Amplifier with a Harmonic Resonant Circuit",GaN,,2.6,49.78,72.2,PAE,,,19.8,,,,,,,,GaN
565,2012,5,Kim,Analysis and Implementation of Doherty Power Amplifier With Two-Point Envelope Modulation,GaN,,2.6,,,,,,,,,,45.8,50.4,,,GaN
566,2012,6,Kim_2,Linear Amplification Apparatuses of Class-C Power Amplifier Using Partial Envelope Delta-Sigma Modulation,GaN,,2.6,,,,,,,,,,33.7,45.3(DE),LTE (10Mhz),,GaN
567,2013,11,Kim,Envelope Amplifier With Multiplle-Linear Regulator for Envelope Tracking Power Amplifier,GaN,,2.6,48,65,DE,44,48,14,,,,40.8,47.8(DE),LTE (10Mhz),,GaN HEMT
568,2013,5,Chen,Compact Triple-Transistor Doherty Amplifier Designs: Differential/Power Combining,GaN,,2.6,44.8,73,DE,40,66,14,,,,,,,,GaN HEMT
569,2013,6,Chen,A Novel Design Method of Concurrent Dual-Band Power Amplifiers Including Impedance Tuning at Inter-Band Modulation Frequencies,GaN,,2.6,42,60,DE,,,14,,,,,,,,GaN
570,2013,12,Mohamed,Doherty Power Amplifier With Enhanced Efficiency at Extended Operating Average Power Levels,GaN,,2.6,,,,,,,,,,35,66,LTE (20Mhz),,GaN HEMT
571,2014,6,Chen,A Concurrent Dual-band 1.9-2.6-GHz Doherty Power Amplifier with Intermodulation Impedance Tuning,GaN,,2.6,44,60,DE,,,16.5,,,,39.83,45.8,LTE,,GaN
572,2016,3,Chen,Compact Doherty Power Amplifier Design for 2 × 2 Multiple-Input Multiple-Output System,GaN ,,2.6,44.7,72.8,DE,,,16,,,,,,,,GaN HEMT CGH40010
573,2016,6,Pang,Novel Design of Highly-efficient Concurrent Dual-band GaN Doherty Power Amplifier Using Direct-Matching Impedance Transformers,GaN,,2.6,43.9,60,DE,,,12.1,,,,,,,,GaN
574,2016,2,Pang,A Novel Design of Concurrent Dual-Band High Efficiency Power Amplifiers With Harmonic Control Circuits,GaN ,,2.6,40.8,74.1,DE,,,,,,20 MHz,35,40,LTE,,GaN HEMT CGH40010F
575,2017,12,Lee,Highly Efficient Fully Integrated GaN-HEMT Doherty Power Amplifier Based on Compact Load Network,GaN,,2.6,44,70,DE,32,38,13.1,,,,37.6,54.4(DE),LTE,,GaN HEMT (400nm)
576,2017,6,Lee,2.6 GHz GaN-HEMT Doherty Power Amplifier Integrated Circuit with 55.5% Efficiency Based on a Compact Load Network,GaN ,,2.6,43.9,,,,,,,,,37.4,55.5(DE),LTE,,GaN HEMT (400nm)
577,2018,3,Rubio,Design of an 87% Fractional Bandwidth Doherty Power Amplifier Supported by a Simplified Bandwidth Estimation Method,GaN,,2.6,43,55,DE,35,38,10,,,,34,33,WiMax,,GaN HEMT 
578,2018,2,Li,Multiband and Multimode Concurrent PA With Novel Intermodulation Tuning Network for Linearity Improvement,GaN,,2.6,42,68,PAE,,,,,,,,,,, GaN HEMT CGH40010P
579,2018,2,Sharma,High-Efficiency Input and Output Harmonically Engineered Power Amplifiers,GaN,,2.6,40,77,PAE,,,,,,,32.4,42,LTE (20Mhz),,GaN HEMT
580,2018,10,Sharma,On the Double-Inflection Characteristic of the Continuous-Wave AM/AM in Class-F−1 Power Amplifiers,GaN,,2.6,36,84,DE,,,20,,,,,,,,
581,2018,11,Duffy,Efficient Multisignal 2–4-GHz Power Amplifier With Power Tracking,GaN,,2.6,41,60,DE,,,10,,,,,,,,Cree (Wolfspeed) CGH40010F GaN on SiC HEMT
582,2018,2,Sharma,High-Efficiency Input and Output Harmonically Engineered Power Amplifiers,GaN,,2.6,39.91,78.7,PAE,,,12,,,1c-LTE 20-MHz,32.4,42,,,
583,2018,3,Li,Multiband and Multimode Concurrent PA With Novel Intermodulation Tuning Network for Linearity Improvement,GaN HEMT CGH40010P,,2.6,42,68,PAE,,,,10 MHz LTE,,,35,37.6,ACPR<-45dBc,,
584,2018,1,Khan,A Novel Two-Stage Broadband Doherty Power Amplifier for Wireless Applications,Cree,,2.6,39.5,44,DE,,,18,,,,,,,,
585,2018,5,Yu,A broadband Doherty power amplifier based on rotated T-shape load modulation network,GaN,,2.6,40.8,66.4,DE,38,55,11,,,,,,,,GaN
586,2018,9,Poluri,Investigation of the Effect of Weak Non-Linearities on P1dB and Efficiency of Class B/J/J* Amplifiers,GaN,,2.6,40.5,72,PAE,38.1,54.7,20,,,,,,,,GaN
587,2019,4,Yang,Design of Concurrent Dual-Band Continuous Class-J Mode Doherty Power Amplifier With Precise Impedance Terminations,GaN,,2.6,46.4,75,DE,,,12.7,,,,,,,,
588,2019,7,Sharma,Simplified First-Pass Design of High-Efficiency Class-F−1 Power Amplifiers Based on Second-Harmonic Minima,GaN,,2.6,40,76,DE,,,12,,,1c 20MHz LTE,32.8,38,,,
589,2019,3,Liu,Analysis and Design of high Efficeiency Parallel-Circuit Class E/F Power Amplifier,GaN,,2.6,40.4,77.2,PAE,,,10.4,,,,,,,,
590,2019,6,Barros,Impact of the Input Baseband Impedance on the Instantaneous Bandwidth of Wideband Power Amplifiers,GaN,,2.6,45,66,PAE,,,,,,,,,,,
591,2019,7,Sharma,Simplified First-Pass Design of High-Efficiency Class-F−1 Power Amplifiers Based on Second-Harmonic Minima,GaN,2.6 GHz,2.6,40,76,DE,38,63,17,20 MHz LTE,,20,32.8,38(DE),,,GaN
592,2019,9,Tran,Design of a 1–2.8-GHz 100-W Power Amplifier With Bounded Performance Technique,GaN ,1-2.8,2.6,50.6,51.6,DE,,,,,,,,,,,TGF2819-FL
593,2020,7,Wang,A Dual-Band Outphasing Power Amplifier Based on Noncommersurate Transmission Line Concept,GaN,2.6 GHz,2.6,44.8,72.5,DE,,,19,20MHz 8-dB PAPR,,,37.3,51.2 (DE),20 MHz LTE,,Wolfspeed CGH40010 
594,2020,7,Cao,Pseudo-Doherty Load-Modulated Balanced Amplifier With Wide Bandwidth and Extended Power Back-Off Range,GaN,,2.6,43,65,DE,,,8.2,LTE,,,33.5,44.9 (DE),LTE,,Wolfspeed CGH40006P
595,2020,8,Embar,Digitally Assisted Load Modulated Balanced Amplifier for 200W Cellular Infrastructure Applications,GaN,,2.6,53,70,DE,,,22,,,,,,,,NXP's 100W GaN on SiC HEMT
596,2019,11,Latha,Nonlinear Embedding Model-Based Continuous Class E/F Power Amplifier,GaN,1.5-2.9 GHz,2.6,40,66,PAE,,,10,,,,,,,,GaN
597,2021,9,Zhang,Design of a Quadband Doherty Power Amplifier With Large Power Back-Off Range,GaN,"0.5-0.7, 1.5-1.7, 2.5-2.7, 3.5-3.7",2.6,41,66,DE,,,12.7,LTE,,40,34.6,43.8,,,CGH40010F 
598,2021,6,Zhao,Theory and Design Methodology for Reverse- Modulated Dual-Branch Power Amplifiers Applied to a 4G/5G Broadband GaN MMIC PA Design,GaN,2.6 -3.8 GHz,2.6,36,55,PAE,,,28,20MHz LTE,,,27.4,,ACLR = -48.8dB,Analog,0.25um UMS
599,2022,3,Chu,Class-iF-1: Linearity Enhanced High Efficiency Power Amplifier,GaN,2 - 2.6,2.6,40.8,74.1,DE,,,17,LTE,-27.23 ACPR,100,,,,,CG2H40010F
600,2013,6,Tango,"A 60% Efficient Envelope Tracking Power Amplifier for 40W, 2.6GHz LTE Base station with In/Output Harmonic Tuning",GaN ,,2.64,53.01,67,DE,,,,,,,43,60(DE),LTE (10Mhz),,GaN HEMT
601,2010,11,Nemati,Design of Highly Efficient Load Modulation Transmitter for Wideband Cellular Applications,GaN,,2.65,39,72,PAE,37,60,14.5,,,,30.4,49,WCDMA (38.4Mhz),Analog,GaN HEMT
602,2018,1,Wong,High-power high-efficiency broadband GaN HEMT Doherty amplifiers for base station applications,GaN,,2.65,54,70,DE,52,60,13,,,,,,,,Sumitomo GaN HEMT
603,2018,1,Lee,2.65 GHz 340 W dual internally matched FETs for compact doherty power amplifiers,GaN,,2.65,55.3,44,DE,50,40,10.1,,,10,,,LTE(10MHz),,GaN HEMT
604,2009,6,Kim,Hybrid EER transmitter using Highly Efficient Saturated Power Amplifier for 802.16e Mobile WiMAX application,GaN ,,2.655,,,,,,,,-36.88(RCE),,33.07,45.9,WiMax (5Mhz),,GaN HEMT
605,2010,5,Kim,A 2.655 GHz 3-stage Doherty Power Amplifier using Envelope Tracking Technique,GaN ,,2.655,50.5,54.6,PAE,,,10,,,,43.3,46.9,WiMax,,GaN HEMT
606,2010,2,Kim,A Saturated Doherty Power Amplifier Based On Saturated Amplifier,GaN ,,2.655,43.5,74,DE,,,,,,,38,67(DE),WiMax,,GaN HEMT
607,2010,10,Kim,Optimized Design of a Highly Efficient Three-Stage Doherty PA Using Gate Adaptation,GaN,,2.655,42.54,55.4,DE,,,,,,,,,,Analog,GaN HEMT
608,2011,1,Moon,Efficiency Enhancement of Doherty Amplifier Through Mitigation of the Knee Voltage Effect,GaN,,2.655,50,63,DE,,,,,,,42,49.3(DE),WiMax,,GaN HEMT
